time,res
197,0.77
198,0.67
199,0.61
200,0.63
201,0.65
202,0.55
203,0.52
204,0.63
205,0.59
206,0.65
207,0.62
208,0.68
209,0.6
210,0.67
211,0.8
212,0.54
213,0.58
214,0.53
215,0.71
216,0.61
217,0.63
218,0.64
219,0.79
220,0.6
221,0.6
222,0.77
223,0.71
224,0.61
225,0.66
226,0.68
227,0.57
228,0.75
229,0.72
230,0.72
231,0.6
232,0.59
233,0.58
234,0.67
235,0.73
236,0.84
237,0.63
238,0.48
239,0.63
240,0.62
241,0.58
242,0.72
243,0.64
244,0.61
245,0.69
246,0.61
247,0.63
248,0.54
249,0.58
250,0.52
251,0.57
252,0.71
253,0.61
254,0.73
255,0.65
256,0.77
257,0.58
258,0.79
259,0.65
260,0.64
261,0.82
262,0.53
263,0.52
264,0.48
265,0.61
266,0.66
267,0.66
268,0.63
269,0.52
270,0.67
271,0.58
272,0.44
273,0.44
274,0.52
275,0.61
276,0.63
277,0.64
278,0.6
279,0.64
280,0.58
281,0.61
282,0.72
283,0.67
284,0.52
285,0.65
286,0.67
287,0.51
288,0.76
289,0.58
290,0.64
291,0.6
292,0.55
293,0.71
294,0.6
295,0.69
296,0.66
297,0.56
298,0.58
299,0.65
300,0.72
301,0.67
302,0.53
303,0.49
304,0.59
305,0.65
306,0.59
307,0.77
308,0.61
309,0.7
310,0.53
311,0.63
312,0.73
313,0.61
314,0.6
315,0.52
316,0.51
317,0.53
318,0.65
319,0.5
320,0.73
321,0.48
322,0.65
323,0.58
324,0.64
325,0.66
326,0.72
327,0.64
328,0.52
329,0.68
330,0.51
331,0.54
332,0.58
333,0.64
334,0.66
335,0.59
336,0.61
337,0.68
338,0.57
339,0.53
340,0.53
341,0.54
342,0.58
343,0.53
344,0.68
345,0.67
346,0.64
347,0.58
348,0.57
349,0.76
350,0.58
351,0.53
352,0.57
353,0.67
354,0.66
355,0.45
356,0.52
357,0.57
358,0.69
359,0.64
360,0.73
361,0.61
362,0.65
363,0.55
364,0.71
365,0.61
366,0.67
367,0.43
368,0.66
369,0.56
370,0.78
371,0.44
372,0.47
373,0.51
374,0.57
375,0.56
376,0.68
377,0.55
378,0.54
379,0.56
380,0.52
381,0.59
382,0.62
383,0.52
384,0.72
385,0.43
386,0.54
387,0.68
388,0.61
389,0.61
390,0.56
391,0.63
392,0.49
393,0.6
394,0.53
395,0.55
396,0.54
397,0.59
398,0.48
399,0.63
400,0.49
401,0.64
402,0.69
403,0.55
404,0.64
405,0.51
406,0.56
407,0.51
408,0.46
409,0.63
410,0.58
411,0.57
412,0.51
413,0.5
414,0.41
415,0.62
416,0.55
417,0.47
418,0.58
419,0.46
420,0.75
421,0.53
422,0.51
423,0.53
424,0.55
425,0.53
426,0.5
427,0.43
428,0.49
429,0.52
430,0.59
431,0.6
432,0.53
433,0.55
434,0.58
435,0.54
436,0.61
437,0.47
438,0.51
439,0.53
440,0.55
441,0.4
442,0.53
443,0.53
444,0.51
445,0.59
446,0.48
447,0.55
448,0.51
449,0.58
450,0.51
451,0.49
452,0.47
453,0.6
454,0.62
455,0.6
456,0.52
457,0.61
458,0.57
459,0.4
460,0.47
461,0.49
462,0.48
463,0.69
464,0.52
465,0.51
466,0.53
467,0.52
468,0.5
469,0.43
470,0.49
471,0.48
472,0.69
473,0.45
474,0.37
475,0.5
476,0.45
477,0.62
478,0.6
479,0.52
480,0.52
481,0.42
482,0.59
483,0.58
484,0.56
485,0.55
486,0.48
487,0.54
488,0.51
489,0.54
490,0.46
491,0.53
492,0.47
493,0.45
494,0.6
495,0.48
496,0.48
497,0.48
498,0.53
499,0.4
500,0.68
501,0.5
502,0.51
503,0.46
504,0.67
505,0.5
506,0.57
507,0.61
508,0.54
509,0.45
510,0.66
511,0.47
512,0.45
513,0.47
514,0.37
515,0.49
516,0.54
517,0.6
518,0.55
519,0.45
520,0.51
521,0.41
522,0.46
523,0.49
524,0.44
525,0.56
526,0.43
527,0.5
528,0.43
529,0.57
530,0.47
531,0.68
532,0.41
533,0.53
534,0.6
535,0.62
536,0.46
537,0.62
538,0.57
539,0.49
540,0.5
541,0.46
542,0.47
543,0.51
544,0.47
545,0.59
546,0.48
