i,time,Type,has_hh,month
2,357,NA,FALSE,12
2,48,NA,FALSE,2
2,95,NA,FALSE,4
2,325,NA,FALSE,11
2,241,NA,FALSE,9
2,199,NA,FALSE,7
2,247,NA,FALSE,9
2,48,NA,FALSE,2
2,88,NA,FALSE,3
2,207,NA,FALSE,7
2,245,NA,FALSE,9
2,182,NA,FALSE,7
2,208,NA,FALSE,7
2,272,NA,FALSE,10
2,274,NA,FALSE,10
2,150,NA,FALSE,5
2,208,NA,FALSE,7
2,348,NA,FALSE,12
2,87,NA,FALSE,3
2,259,NA,FALSE,9
2,361,NA,FALSE,13
2,291,NA,FALSE,10
2,271,NA,FALSE,10
2,211,NA,FALSE,8
2,108,NA,FALSE,4
2,129,NA,FALSE,5
2,172,NA,FALSE,6
2,337,NA,FALSE,12
2,168,NA,FALSE,6
2,310,NA,FALSE,11
2,344,NA,TRUE,12
2,70,NA,FALSE,3
2,168,NA,FALSE,6
2,287,NA,FALSE,10
2,247,NA,FALSE,9
2,87,NA,FALSE,3
3,63,NA,FALSE,3
3,148,NA,FALSE,5
3,78,NA,FALSE,3
3,247,NA,FALSE,9
3,163,NA,FALSE,6
3,197,NA,FALSE,7
3,62,NA,FALSE,3
3,264,NA,FALSE,9
3,291,NA,FALSE,10
3,154,NA,FALSE,6
3,253,NA,FALSE,9
3,181,NA,FALSE,7
3,184,NA,FALSE,7
3,73,NA,FALSE,3
3,97,NA,TRUE,4
3,174,NA,FALSE,6
3,234,NA,FALSE,8
3,207,NA,FALSE,7
3,96,NA,FALSE,4
3,46,NA,FALSE,2
3,250,NA,FALSE,9
3,311,NA,FALSE,11
3,217,NA,FALSE,8
3,182,NA,FALSE,7
3,165,NA,FALSE,6
3,360,NA,FALSE,12
3,313,NA,FALSE,11
3,110,NA,FALSE,4
3,113,NA,FALSE,4
3,169,NA,FALSE,6
3,230,NA,FALSE,8
3,216,NA,FALSE,8
3,361,NA,FALSE,13
3,334,NA,FALSE,12
3,327,NA,FALSE,11
3,37,NA,FALSE,2
3,72,NA,FALSE,3
3,177,NA,FALSE,6
3,45,NA,FALSE,2
3,296,NA,FALSE,10
3,185,NA,FALSE,7
3,228,NA,FALSE,8
3,33,NA,FALSE,2
4,161,NA,FALSE,6
4,48,NA,FALSE,2
4,119,NA,FALSE,4
4,310,NA,FALSE,11
4,230,NA,FALSE,8
4,258,NA,FALSE,9
4,145,NA,FALSE,5
4,354,NA,FALSE,12
4,275,NA,FALSE,10
4,56,NA,FALSE,2
4,92,NA,FALSE,4
4,312,NA,FALSE,11
4,89,NA,FALSE,3
4,260,NA,FALSE,9
