i,time,Type,has_hh,month
4,214,H,TRUE,8
4,243,H,TRUE,9
4,186,C,FALSE,7
4,214,H,TRUE,8
5,1,NA,FALSE,1
5,33,H,TRUE,2
5,353,H,TRUE,12
5,348,H,TRUE,12
5,348,H,TRUE,12
5,319,C,FALSE,11
5,323,C,FALSE,11
5,351,H,TRUE,12
5,219,H,TRUE,8
5,160,H,TRUE,6
5,160,H,TRUE,6
5,130,C,FALSE,5
5,190,H,TRUE,7
5,346,H,TRUE,12
5,278,C,FALSE,10
5,342,H,TRUE,12
5,310,H,TRUE,11
5,312,H,TRUE,11
5,304,H,TRUE,11
5,276,C,FALSE,10
5,310,H,TRUE,11
5,292,H,TRUE,10
5,286,H,TRUE,10
5,259,H,TRUE,9
5,228,C,FALSE,8
5,256,H,TRUE,9
5,260,H,TRUE,9
5,228,C,FALSE,8
5,256,H,TRUE,9
5,252,H,TRUE,9
5,246,H,TRUE,9
5,278,H,TRUE,10
5,218,C,FALSE,8
5,346,H,TRUE,12
5,281,H,TRUE,10
5,252,C,FALSE,9
5,314,H,TRUE,11
5,281,H,TRUE,10
5,347,H,TRUE,12
5,288,C,FALSE,10
5,348,H,TRUE,12
5,317,H,TRUE,11
5,290,C,FALSE,10
5,322,H,TRUE,11
5,348,H,TRUE,12
5,355,H,TRUE,12
5,319,H,TRUE,11
5,286,C,FALSE,10
5,343,H,TRUE,12
5,309,C,FALSE,11
5,188,C,FALSE,7
5,218,H,TRUE,8
5,343,C,FALSE,12
5,351,C,FALSE,12
5,343,C,FALSE,12
5,338,H,TRUE,12
5,248,C,FALSE,9
5,307,H,TRUE,11
5,308,H,TRUE,11
5,278,H,TRUE,10
5,277,H,TRUE,10
5,218,H,TRUE,8
5,247,H,TRUE,9
5,189,C,FALSE,7
5,246,H,TRUE,9
5,156,C,FALSE,6
5,184,H,TRUE,7
5,184,H,TRUE,7
5,213,H,TRUE,8
5,187,H,TRUE,7
5,285,C,FALSE,10
5,318,H,TRUE,11
5,317,H,TRUE,11
5,315,H,TRUE,11
5,346,H,TRUE,12
5,313,C,FALSE,11
5,343,H,TRUE,12
5,347,H,TRUE,12
5,346,H,TRUE,12
5,253,C,FALSE,9
5,286,H,TRUE,10
5,282,H,TRUE,10
5,313,H,TRUE,11
5,316,H,TRUE,11
5,340,H,TRUE,12
5,310,C,FALSE,11
5,348,H,TRUE,12
5,317,C,FALSE,11
5,324,H,TRUE,11
5,355,H,TRUE,12
5,290,C,FALSE,10
5,160,C,FALSE,6
5,344,C,FALSE,12
5,339,H,TRUE,12
5,308,C,FALSE,11
5,192,H,TRUE,7
5,195,H,TRUE,7
5,192,H,TRUE,7
5,163,C,FALSE,6
5,224,H,TRUE,8
5,251,H,TRUE,9
5,285,H,TRUE,10
5,187,H,TRUE,7
5,220,H,TRUE,8
5,158,C,FALSE,6
5,130,H,TRUE,5
5,95,H,TRUE,4
5,128,H,TRUE,5
5,96,H,TRUE,4
5,67,C,FALSE,3
5,348,C,FALSE,12
6,1,NA,FALSE,1
6,62,H,TRUE,3
6,95,H,TRUE,4
6,32,H,TRUE,2
6,96,H,TRUE,4
6,266,H,TRUE,9
6,235,H,TRUE,8
6,207,C,FALSE,7
6,235,H,TRUE,8
6,236,H,TRUE,8
6,214,H,TRUE,8
6,219,H,TRUE,8
6,215,H,TRUE,8
6,185,C,FALSE,7
6,213,H,TRUE,8
6,328,H,TRUE,11
6,326,H,TRUE,11
6,356,H,TRUE,12
6,362,H,TRUE,13
6,297,C,FALSE,10
6,208,H,TRUE,7
6,241,H,TRUE,9
6,178,C,FALSE,6
6,274,H,TRUE,10
6,220,C,FALSE,8
6,340,H,TRUE,12
6,310,C,FALSE,11
6,343,H,TRUE,12
6,342,H,TRUE,12
6,340,H,TRUE,12
6,273,H,TRUE,10
6,274,H,TRUE,10
6,244,C,FALSE,9
6,348,C,FALSE,12
6,308,H,TRUE,11
6,336,H,TRUE,12
6,309,H,TRUE,11
6,308,H,TRUE,11
6,276,C,FALSE,10
6,324,C,FALSE,11
6,354,H,TRUE,12
6,294,H,TRUE,10
6,237,C,FALSE,8
6,265,H,TRUE,9
6,269,H,TRUE,9
6,270,H,TRUE,9
6,151,H,TRUE,6
6,120,H,TRUE,4
6,91,C,FALSE,4
6,123,H,TRUE,5
6,123,H,TRUE,5
6,339,H,TRUE,12
6,309,H,TRUE,11
6,341,H,TRUE,12
6,280,C,FALSE,10
6,359,C,FALSE,12
