"","V1","V2","V3"
"117",0.333333333333333,0.333333333333333,0.5
"118",0.478260869565217,0.434782608695652,0.314090669228195
"119",0.547826086956522,0.504347826086956,0.0844867162644685
"120",0.538461538461538,0.461538461538462,0.352819153687981
"121",0.5,0.25,0.666666666666667
"122",0.5,0.5,0.666666666666667
"123",0.475247524752475,0.435643564356436,0.0960572864509634
"124",0.5,0,1
"125",0,0,NA
"126",0.5,0.5,1
"127",0.615384615384615,0.615384615384615,0.441262646629869
"128",0.75,0.75,1
"129",0.661290322580645,0.596774193548387,0.182494404445542
"130",0.589473684210526,0.547368421052632,0.0403227844580881
"131",0,0,NA
"132",0.450980392156863,0.352941176470588,0.153144816667972
"133",0,0,NA
"134",0.333333333333333,0,0.5
"135",0.544117647058823,0.514705882352941,0.104545227478494
"136",0.666666666666667,0.666666666666667,0.752976256781531
"137",0.636363636363636,0.545454545454545,0.453500816447285
"138",0,0,NA
"139",0.593023255813954,0.534883720930233,0.107045089234973
"140",0.578947368421053,0.5,0.224599446526095
"141",0,0,NA
"142",0,0,0
"143",0.589285714285714,0.5625,0.0775615204016865
"144",0,0,NA
"145",0.586466165413534,0.571428571428571,0.0760486140118498
"146",0,0,NA
"147",0.507936507936508,0.507936507936508,0.140540812880553
"148",0.51219512195122,0.48780487804878,0.10308855397122
"149",0.5,0.5,1
"150",0,0,NA
"151",0.608695652173913,0.478260869565217,0.162399213117302
"152",0.596899224806202,0.534883720930233,0.0755652111657757
"153",0,0,NA
"154",0.615384615384615,0.512820512820513,0.215633783641743
"155",0,0,NA
"156",0.666666666666667,0.666666666666667,1
"157",0.572115384615385,0.552884615384615,0.0425199153381248
"158",0.627450980392157,0.607843137254902,0.219948764603004
"159",0.563636363636364,0.454545454545455,0.134626964278476
"160",0.592592592592593,0.444444444444444,0.183113293733702
"161",0,0,NA
"162",0,0,NA
"163",0,0,NA
"164",0.666666666666667,0.333333333333333,1
"165",0,0,NA
"166",0.75,0.75,0.857142857142857
"167",0.4,0.4,0.252943316545205
"168",0.619047619047619,0.571428571428571,0.341392176768133
"169",0.8,0.8,1
"170",0.577777777777778,0.511111111111111,0.209320810796472
"171",0,0,NA
"172",0.666666666666667,0.666666666666667,1
"173",0.539473684210526,0.473684210526316,0.133890250737083
"174",0.5625,0.53125,0.275710722290111
"175",0.5,0.5,1
"176",0.666666666666667,0.666666666666667,1
"177",0.588235294117647,0.529411764705882,0.205154752746663
"178",0,0,NA
"179",0.548245614035088,0.508771929824561,0.0448722296170071
"180",0.333333333333333,0.333333333333333,0.5
"181",0,0,NA
"182",0.8,0.8,0.721335548223889
"183",0.570957095709571,0.534653465346535,0.0390243864145628
"184",0.544444444444444,0.477777777777778,0.10828535204768
"185",0.666666666666667,0.666666666666667,1
"186",0.565217391304348,0.565217391304348,0.373264840305376
"187",0.580645161290323,0.516129032258065,0.187216805762444
"188",0,0,NA
"189",0,0,NA
"190",0,0,NA
"191",0.5,0.5,1
"192",0.6,0.62,0.230535616402941
"193",0.5625,0.515625,0.151610884096223
"194",0,0,NA
"195",0,0,NA
"196",0.333333333333333,0.333333333333333,0.499999999999982
"197",0.5,0,1
"198",0.407407407407407,0.407407407407407,0.324226695247674
"199",0,0,NA
"200",0.6,0.568421052631579,0.0561668503326972
"201",0.595092024539877,0.558282208588957,0.0622944974483138
"202",0.5,0,1
"203",0.525,0.5,0.297107171509104
"204",0.635514018691589,0.607476635514019,0.117707833954076
"205",0,0,NA
"206",0.75,0.25,1
