"ID" "SIZE" "HH" "TYPE" "TIME" "S_NUM" "I_NUM"
"292" 292 6 64 NA NA NA 0
"293" 293 6 64 NA NA NA 0
"294" 294 3 65 NA NA NA 0
"295" 295 3 65 NA NA NA 0
"296" 296 3 65 NA NA NA 0
"297" 297 3 66 NA NA NA 0
"298" 298 3 66 NA NA NA 0
"299" 299 3 66 NA NA NA 0
"300" 300 3 67 NA NA NA 0
"301" 301 3 67 NA NA NA 0
"302" 302 3 67 NA NA NA 0
"303" 303 3 68 NA NA NA 0
"304" 304 3 68 NA NA NA 0
"305" 305 3 68 NA NA NA 0
"306" 306 5 69 "H" 236 2 1
"307" 307 5 69 "C" 177 4 1
"308" 308 5 69 NA NA NA 0
"309" 309 5 69 "H" 259 1 0
"310" 310 5 69 "H" 200 3 1
"311" 311 3 70 NA NA NA 0
"312" 312 3 70 NA NA NA 0
"313" 313 3 70 NA NA NA 0
"314" 314 3 71 NA NA NA 0
"315" 315 3 71 NA NA NA 0
"316" 316 3 71 NA NA NA 0
"317" 317 4 72 NA NA NA 0
"318" 318 4 72 NA NA NA 0
"319" 319 4 72 NA NA NA 0
"320" 320 4 72 NA NA NA 0
"321" 321 6 73 "C" 354 4 3
"322" 322 6 73 "H" NA NA 0
"323" 323 6 73 "H" NA NA 0
"324" 324 6 73 "C" NA NA 0
"325" 325 6 73 "H" NA NA 0
"326" 326 6 73 NA NA NA 0
"327" 327 5 74 NA NA NA 0
"328" 328 5 74 "C" NA NA 0
"329" 329 5 74 NA NA NA 0
"330" 330 5 74 "C" NA NA 0
"331" 331 5 74 NA NA NA 0
"332" 332 3 75 NA NA NA 0
"333" 333 3 75 NA NA NA 0
"334" 334 3 75 NA NA NA 0
"335" 335 6 76 NA NA NA 0
"336" 336 6 76 NA NA NA 0
"337" 337 6 76 NA NA NA 0
"338" 338 6 76 NA NA NA 0
"339" 339 6 76 NA NA NA 0
"340" 340 6 76 NA NA NA 0
"341" 341 5 77 "C" 240 4 1
"342" 342 5 77 "H" 277 3 3
"343" 343 5 77 "H" 293 0 0
"344" 344 5 77 "H" 299 0 0
"345" 345 5 77 "H" 315 0 0
"346" 346 4 78 NA NA NA 0
"347" 347 4 78 "H" 362 2 0
"348" 348 4 78 NA NA NA 0
"349" 349 4 78 "C" 332 3 1
"350" 350 3 79 NA NA NA 0
"351" 351 3 79 NA NA NA 0
"352" 352 3 79 NA NA NA 0
"353" 353 5 80 NA NA NA 0
"354" 354 5 80 NA NA NA 0
"355" 355 5 80 NA NA NA 0
"356" 356 5 80 "C" 323 4 1
"357" 357 5 80 "H" NA NA 0
"358" 358 3 81 NA NA NA 0
"359" 359 3 81 NA NA NA 0
"360" 360 3 81 "C" 308 2 0
"361" 361 6 82 NA NA NA 0
"362" 362 6 82 NA NA NA 0
"363" 363 6 82 NA NA NA 0
"364" 364 6 82 NA NA NA 0
"365" 365 6 82 NA NA NA 0
"366" 366 6 82 NA NA NA 0
"367" 367 3 83 NA NA NA 0
"368" 368 3 83 NA NA NA 0
"369" 369 3 83 NA NA NA 0
"370" 370 4 84 "C" 331 1 0
