"ID" "SIZE" "HH" "TYPE" "TIME" "S_num" "I_num"
"262" 262 5 58 "E" 30 3 0
"263" 263 5 58 "E" 116 0 0
"264" 264 3 59 "E" 53 2 0
"265" 265 3 59 "E" 127 0 0
"266" 266 3 59 "E" 116 0 0
"267" 267 4 60 "E" 43 3 1
"268" 268 4 60 "E" 221 1 0
"269" 269 4 60 "E" 74 2 0
"270" 270 4 60 NA NA NA 0
"271" 271 6 61 "E" NA NA 0
"272" 272 6 61 "E" 215 1 0
"273" 273 6 61 "E" 113 3 0
"274" 274 6 61 "E" 58 4 0
"275" 275 6 61 "E" 188 1 0
"276" 276 6 61 "E" 53 4 0
"277" 277 4 62 "E" 59 3 0
"278" 278 4 62 "E" 358 0 0
"279" 279 4 62 "E" 121 2 1
"280" 280 4 62 "E" 167 1 0
"281" 281 5 63 "E" 167 2 0
"282" 282 5 63 "E" 65 4 0
"283" 283 5 63 NA NA NA 0
"284" 284 5 63 "E" 244 1 0
"285" 285 5 63 "E" 128 3 0
"286" 286 3 64 "E" 63 1 0
"287" 287 3 64 "E" 94 0 0
"288" 288 3 64 "E" 25 1 0
"289" 289 3 65 NA NA NA 0
"290" 290 3 65 "E" 35 2 0
"291" 291 3 65 "E" 258 1 0
"292" 292 6 66 "E" 23 4 0
"293" 293 6 66 "E" 118 1 0
"294" 294 6 66 "E" 63 1 0
"295" 295 6 66 "E" 43 2 0
"296" 296 6 66 "E" 59 1 0
"297" 297 6 66 "E" 224 0 0
"298" 298 3 67 "E" 106 2 0
"299" 299 3 67 "E" 223 0 0
"300" 300 3 67 "E" 210 0 0
"301" 301 5 68 "E" 86 1 0
"302" 302 5 68 "E" 58 1 0
"303" 303 5 68 "E" 207 0 0
"304" 304 5 68 "E" 97 1 0
"305" 305 5 68 "E" 51 2 1
"306" 306 5 69 NA NA NA 0
"307" 307 5 69 "E" 192 2 0
"308" 308 5 69 "E" 153 3 0
"309" 309 5 69 "E" 60 4 0
"310" 310 5 69 "E" 253 1 0
"311" 311 6 70 "E" 84 2 0
"312" 312 6 70 "E" 215 0 0
"313" 313 6 70 "E" 29 2 0
"314" 314 6 70 "E" 29 2 0
"315" 315 6 70 "E" 48 2 0
"316" 316 6 70 "E" 117 1 0
"317" 317 4 71 "E" 56 2 0
"318" 318 4 71 "E" 21 3 1
"319" 319 4 71 "E" 118 1 0
"320" 320 4 71 "E" 193 0 0
"321" 321 5 72 "E" 223 0 0
"322" 322 5 72 "E" 119 1 0
"323" 323 5 72 "E" 78 2 0
"324" 324 5 72 "E" 93 2 0
"325" 325 5 72 "E" 94 2 0
"326" 326 5 73 "E" 67 0 0
"327" 327 5 73 "E" 64 0 0
"328" 328 5 73 "E" 41 2 0
"329" 329 5 73 "E" 51 2 1
"330" 330 5 73 "E" 91 0 0
"331" 331 6 74 "E" 86 0 0
"332" 332 6 74 "E" 43 1 0
"333" 333 6 74 "E" 55 1 0
"334" 334 6 74 "E" 52 1 0
"335" 335 6 74 "E" 45 1 0
"336" 336 6 74 "E" 48 1 0
"337" 337 5 75 "E" 121 0 0
"338" 338 5 75 "E" 59 2 0
"339" 339 5 75 "E" 127 0 0
"340" 340 5 75 "E" 53 3 1
"341" 341 5 75 "E" 85 1 0
"342" 342 4 76 "E" 24 3 0
"343" 343 4 76 "E" 121 2 0
"344" 344 4 76 "E" 264 0 0
"345" 345 4 76 "E" 152 1 0
"346" 346 6 77 "E" 112 0 0
"347" 347 6 77 "E" 69 2 0
"348" 348 6 77 "E" 120 0 0
"349" 349 6 77 "E" 51 3 1
"350" 350 6 77 "E" 52 3 0
"351" 351 6 77 "E" 64 2 0
"352" 352 3 78 "E" 130 0 0
"353" 353 3 78 "E" 76 1 0
"354" 354 3 78 "E" 87 1 0
"355" 355 6 79 "E" 209 0 0
"356" 356 6 79 "E" 36 4 0
"357" 357 6 79 "E" 185 1 0
"358" 358 6 79 "E" 145 2 0
"359" 359 6 79 "E" 40 4 0
